"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"	"sample7"	"sample8"
"trait1"	1.31340658391388	-0.220132347434856	0.940497030133987	-0.517116996435658	1.69965741737149	1.34996077067188	2.4183160302495	0.587818964592657
"trait2"	-1.40530728228874	-1.09105808111785	1.00065174127073	-0.771452871364609	1.64564342427083	1.39064841133236	2.3785777622225	1.44663151750351
"trait3"	-1.93680861126671	1.52863716405589	0.502279140828362	1.20320354100845	-0.713382192587642	0.676245242886216	0.347313590716737	1.86563446670737
"trait4"	0.65818996201476	-0.916690975760301	1.47940986063823	0.172540720556439	0.913338665158851	1.50697328897756	-1.13900825568531	1.27806299667423
"trait5"	1.7606955177409	2.40575629504747	-0.61285809227806	0.373950282507828	-0.93377755849857	2.07626553480736	0.337460307151463	0.189039531983749
"trait6"	0.293477970739358	-0.26920581237605	-1.78293090545763	0.798427257625687	0.107486472355752	2.11401087963453	1.03702538154257	-0.463415543185346
"trait7"	0.205485442071812	1.78584290301098	-0.400818890241926	0.589821295212459	1.09815370978915	0.683767590979717	1.64289190335678	0.169447600101361
"trait8"	-1.23193482562071	0.590525278401887	-0.0358731437489566	0.638763142291274	2.46021128588738	2.05195834834001	0.570923188023888	1.80711971935567
"trait9"	-0.821144676834333	0.129973240429046	-0.796100387224574	-0.587279904899331	0.911241760337389	2.21463670341443	2.00379924693966	1.11007691901741
"trait10"	0.115751113754819	-0.159019069502171	-0.652714407276217	-0.253706709944264	1.94990685091545	0.996418573732564	-0.624709154766676	2.49662279018309
"trait11"	1.65851567931357	1.36704554941844	-0.800127626651662	-1.88506464385065	0.309102741088643	1.75711411353297	1.5814667955235	2.11557629030247
"trait12"	-2.7657390626336	0.526593879635698	-0.686101225288947	0.309701478498708	0.0947413168836145	1.95113902956198	2.65082148289487	2.68744260527692
"trait13"	-0.648671373185687	-0.288512605446734	-0.88664966084518	0.313220609777163	0.865427578843255	0.0540944331753648	1.34410289247382	1.23138216040796
"trait14"	0.964005200510476	-1.01711210773382	-0.603692938130526	-0.479471003096922	0.92860274819096	1.4181377267305	1.68479011200831	0.777014206764823
"trait15"	-0.0961784808978881	-0.118951706283617	-1.95945680454766	3.35173469925516	-0.0258224286605637	-0.813830831334846	2.67884315710135	2.30056710852209
"trait16"	-0.495027271919155	-0.4435952516254	0.268451333598014	-0.601662481925206	0.4479342823396	2.88424064090171	1.08265794183817	1.31639081523009
